turma,horas,nota,faltas,faixa_horas
A,9.2,7.6,14,muito
A,7.7,6.8,3,medio
B,9.6,9.5,11,muito
C,11.8,10.0,12,muito
A,7.4,7.2,1,medio
C,7.4,7.3,10,medio
B,11.9,10.0,14,muito
B,9.9,8.4,2,muito
A,6.8,7.3,2,medio
B,9.4,8.3,3,muito
A,6.8,6.6,3,medio
B,6.8,7.9,9,medio
B,8.6,8.8,10,medio
A,3.2,5.1,10,pouco
A,3.7,5.9,4,pouco
A,6.6,6.6,3,medio
B,5.5,6.5,10,pouco
B,8.8,7.8,13,medio
C,5.7,6.3,9,pouco
A,4.5,5.0,7,pouco
B,11.7,10.0,5,muito
B,7.4,7.8,5,medio
A,8.2,6.9,7,medio
C,4.4,7.2,6,pouco
A,6.6,5.6,14,medio
C,8.3,6.6,9,medio
B,5.1,6.7,13,pouco
C,8.9,9.0,10,medio
B,6.5,7.2,11,medio
A,7.3,7.7,9,medio
A,6.5,6.5,12,medio
A,12.6,9.9,7,muito
C,8.0,7.7,13,medio
B,5.4,5.1,1,pouco
A,10.1,10.0,8,muito
A,4.9,5.3,0,pouco
B,8.5,7.1,14,medio
A,3.1,3.8,7,pouco
B,4.7,5.7,11,pouco
B,8.5,7.4,10,medio
B,9.8,8.1,11,muito
B,8.4,8.1,11,medio
B,7.7,7.6,3,medio
C,7.2,6.6,3,medio
A,4.3,4.5,4,pouco
C,6.2,6.6,7,medio
A,6.8,5.3,4,medio
C,10.6,8.0,7,muito
B,8.9,7.5,14,medio
A,3.6,4.3,9,pouco
A,8.8,8.5,0,medio
C,7.0,8.4,11,medio
C,6.3,7.3,14,medio
A,9.5,8.5,9,muito
C,10.6,9.4,8,muito
C,10.3,8.2,5,muito
C,5.9,6.1,2,pouco
B,7.2,6.8,12,medio
B,8.8,8.5,13,medio
C,10.4,8.5,7,muito
C,6.8,7.3,8,medio
B,7.5,8.8,5,medio
B,5.2,5.6,10,pouco
A,5.0,5.9,6,pouco
A,10.0,9.7,0,muito
B,11.4,9.6,13,muito
C,7.8,7.7,4,medio
C,10.5,9.4,4,muito
C,8.9,8.3,9,medio
C,6.4,5.7,13,medio
A,8.9,8.3,3,medio
B,11.8,10.0,5,muito
C,7.9,9.0,6,medio
A,11.9,10.0,8,muito
C,1.5,5.2,0,pouco
B,10.1,8.3,14,muito
A,8.2,8.6,5,medio
B,7.3,7.3,6,medio
B,8.2,10.0,2,medio
A,3.0,3.3,7,pouco
A,7.5,6.4,14,medio
A,8.9,7.6,4,medio
A,11.7,8.1,14,muito
A,6.7,6.2,8,medio
A,6.0,5.4,4,pouco
A,6.7,6.9,8,medio
C,10.3,9.5,9,muito
B,8.8,10.0,3,medio
A,6.7,7.6,8,medio
C,9.3,7.9,4,muito
C,8.2,6.9,9,medio
C,10.4,9.8,8,muito
B,6.2,5.1,2,medio
A,7.2,8.9,14,medio
C,7.0,8.1,3,medio
B,4.3,4.6,8,pouco
B,8.7,6.4,9,medio
B,8.7,9.4,10,medio
C,8.0,7.5,5,medio
A,7.4,8.4,1,medio
C,4.5,3.5,6,pouco
C,6.9,6.3,1,medio
A,7.1,7.0,10,medio
A,6.0,6.2,1,pouco
A,7.6,6.9,10,medio
B,9.0,8.9,0,medio
A,12.7,9.8,10,muito
C,8.4,7.8,10,medio
A,8.6,8.2,11,medio
C,7.8,8.0,10,medio
B,3.2,5.0,2,pouco
C,7.9,6.4,5,medio
C,8.2,6.2,7,medio
A,14.2,10.0,8,muito
A,7.5,7.6,6,medio
C,8.8,7.4,3,medio
A,7.9,9.1,5,medio
B,5.1,5.7,4,pouco
B,10.9,10.0,7,muito
A,9.9,9.0,0,muito
B,10.0,10.0,0,muito
A,5.7,7.8,12,pouco
C,11.5,9.8,14,muito
C,4.5,6.1,10,pouco
B,9.5,9.3,5,muito
A,13.5,10.0,9,muito
A,5.5,4.9,11,pouco
B,6.6,7.3,1,medio
C,8.2,8.8,4,medio
B,6.7,5.0,0,medio
C,4.1,3.7,6,pouco
A,8.2,5.7,0,medio
C,5.3,5.5,3,pouco
B,9.2,9.1,8,muito
A,5.7,7.5,0,pouco
B,11.9,10.0,3,muito
B,6.0,7.9,5,pouco
C,7.2,5.7,5,medio
B,10.0,7.3,11,muito
C,4.9,5.4,14,pouco
A,8.6,8.4,12,medio
C,11.3,9.9,7,muito
A,4.0,2.7,0,pouco
C,8.5,7.8,6,medio
B,8.6,6.8,0,medio
C,10.0,9.6,12,muito
C,4.9,5.8,13,pouco
A,4.7,4.3,6,pouco
B,9.3,8.0,2,muito
C,8.7,7.1,10,medio
B,8.6,8.0,7,medio
C,8.9,9.2,2,medio
C,6.3,5.4,13,medio
B,8.6,8.5,13,medio
C,8.7,7.6,12,medio
B,6.2,5.6,0,medio
C,12.7,10.0,12,muito
A,9.2,7.4,12,muito
B,5.0,5.0,13,pouco
C,9.6,7.6,7,muito
C,5.6,7.9,2,pouco
A,10.0,9.0,1,muito
B,10.9,8.9,0,muito
C,5.9,6.4,13,pouco
A,10.4,9.2,2,muito
C,9.0,8.1,14,medio
B,10.1,9.7,1,muito
C,12.7,10.0,1,muito
C,7.4,6.6,5,medio
C,6.1,5.7,11,medio
C,5.8,5.8,0,pouco
A,6.0,3.9,1,pouco
A,7.8,5.9,13,medio
B,8.9,9.6,5,medio
A,8.7,9.7,2,medio
A,10.1,8.8,14,muito
B,8.0,8.2,3,medio
A,11.6,10.0,0,muito
A,7.3,10.0,7,medio
B,14.8,10.0,12,muito
B,9.6,8.6,6,muito
B,5.9,5.1,6,pouco
C,5.3,4.1,2,pouco
C,9.2,8.6,9,muito
B,7.4,6.5,9,medio
B,9.8,7.4,2,muito
B,9.2,7.8,13,muito
C,7.8,6.4,1,medio
C,5.9,7.8,11,pouco
A,4.2,5.8,0,pouco
A,6.9,6.8,6,medio
B,10.1,10.0,6,muito
C,8.5,8.1,11,medio
C,4.9,4.6,1,pouco
C,8.4,9.4,6,medio
B,9.0,8.8,12,medio
A,5.8,5.0,7,pouco
B,8.4,7.7,0,medio
A,8.1,6.8,8,medio
A,5.1,4.2,6,pouco
B,8.9,9.2,2,medio
A,9.4,10.0,7,muito
A,10.7,8.1,6,muito
C,10.6,10.0,10,muito
A,4.6,4.5,14,pouco
B,5.7,5.5,12,pouco
B,9.3,7.9,7,muito
A,9.3,7.6,5,muito
C,9.3,8.5,8,muito
C,17.6,10.0,14,muito
A,9.4,8.9,4,muito
A,10.8,9.5,2,muito
B,10.4,9.0,2,muito
A,9.6,7.8,0,muito
C,7.2,6.5,11,medio
A,9.9,9.7,14,muito
B,6.1,6.7,7,medio
B,7.4,6.2,1,medio
B,6.8,6.8,2,medio
B,8.2,8.5,7,medio
B,13.8,10.0,13,muito
A,3.3,4.9,7,pouco
A,9.7,8.1,13,muito
A,4.0,5.3,10,pouco
A,6.8,6.0,3,medio
B,10.7,7.7,3,muito
C,8.2,6.1,4,medio
A,5.3,5.8,5,pouco
C,6.2,6.6,4,medio
A,9.7,7.9,13,muito
A,6.2,7.0,14,medio
C,8.5,6.3,6,medio
B,8.1,7.6,1,medio
A,6.4,5.2,6,medio
A,13.4,10.0,9,muito
A,9.6,8.8,6,muito
C,2.9,3.2,0,pouco
B,8.5,7.5,6,medio
C,6.3,7.4,4,medio
C,10.1,8.5,2,muito
B,6.0,7.0,12,pouco
C,7.7,6.3,2,medio
B,9.3,9.0,3,muito
A,10.2,10.0,12,muito
B,5.0,3.0,11,pouco
A,7.2,6.2,1,medio
C,6.8,7.3,1,medio
C,6.4,6.3,0,medio
A,12.4,10.0,14,muito
C,9.0,7.7,4,medio
B,4.8,5.5,3,pouco
A,10.3,9.1,10,muito
C,13.3,10.0,9,muito
A,10.6,9.7,14,muito
B,4.2,5.3,1,pouco
B,6.8,6.3,2,medio
C,11.2,9.3,6,muito
B,6.2,5.9,6,medio
A,9.1,8.8,11,muito
